name,description,category,brand,product_details,average_rating,reviews_count,price
Large Traditional Balinese Framed Silk Signed Ubud Painting,"Bring the spirit of Bali into your home with this Tropical Landscape Oil. Sourced from Mas Village, Bali, Indonesia and crafted with Watercolor Paper, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Paintings on Canvas,BaliHeritage,"Paintings, on, BalineseJewelry, BatchArtistry",4.81,227,1950.0
Ubud Silver Earrings,"Bring the spirit of Bali into your home with this Byzantine Chain Necklace. Sourced from Celuk, Bali, Indonesia and crafted with Silver Alloy, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Silver Jewelry,SeminyakBoutique,"Silver, Jewelry, WoodCarvingSculpture, GianyarCraft, EcoFriendly",4.85,435,190.0
Ubud Console Table,"Bring the spirit of Bali into your home with this Driftwood Mirror Frame. Sourced from Ubud, Bali, Indonesia and crafted with Bamboo, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Home Decor,BaliStudio,"Home, Decor, BaliHandcraft, ArtisanMade, GianyarCraft",4.57,62,1299.98
Shobitam Men's Embroidered Silk Nehru Jacket Bundi,"This Indigo Batik Cloth is a masterpiece of Sukawati, Bali, Indonesia heritage. Made from ethically sourced Rayon, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Batik & Textile,CelukHandmade,"Batik, Textile, CelukSilver, WoodCarving, CeramicBali",4.89,394,111.78
Silk Jacquard Embroidery Bundi,"Bring the spirit of Bali into your home with this Endek Weave Cloth. Sourced from Gianyar, Bali, Indonesia and crafted with Silk, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Batik & Textile,SeminyakDesign,"Batik, Textile, RattanBag, UbudArt, BaliHandcraft",4.64,498,264.0
Canvas Print | Traditional Balinese Street Market In Ubud Bali Indonesia Wall Art,"Discover this traditional Lotus Pond Artwork, handcrafted in Ubud, Bali, Indonesia using traditional Balinese techniques. The Watercolor Paper construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Paintings on Canvas,KutaBoutique,"Paintings, on, BohoStyle, CeramicBali",4.29,465,161.0
Fabiha Fatima Stunning Net & Raw Silk Dress,"heritage Indigo Batik Cloth from Sukawati, Bali, Indonesia. Crafted using Cotton by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Batik & Textile,CelukWorkshop,"Batik, Textile, BalineseMask, ArtisanMade, CelukSilver",4.73,117,295.0
Hand Carved Garuda Vishnu Hand Carved Teak Panel from Batubulan,"heritage Buddha Relief Panel from Mas Village, Bali, Indonesia. Crafted using Coconut Shell by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,SingarajaWeave,"Wood, Carving, OrganicBali, TraditionalCraft",4.39,147,650.0
Artisan Barong Lion Relief Wall Art Indonesia,"This Dragon Door Knocker is a masterpiece of Tegallalang, Bali, Indonesia heritage. Made from ethically sourced Suar Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,SanurArtisan,"Wood, Carving, BatchArtistry, HomeDecorationBali",4.91,418,460.0
Traditional Lotus Mandala Carved Wood Panel Bali,"unique Barong Mask — A true representation of Balinese artistry. Using Waru Wood sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SeminyakArt,"Wood, Carving, BohoStyle, BaliHandcraft",4.77,349,260.0
Antique Style Legong Dancer Suar Wood Figurine Balinese Style,"rare Barong Mask — A true representation of Balinese artistry. Using Teak Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,CelukStudio,"Wood, Carving, TraditionalCraft, SilverJewelry",4.8,279,270.0
Heirloom Quality Ganesha Elephant Deity Sculpture Indonesia,"Discover this premium Wayang Figure, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Waru Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,KutaCreativeHouse,"Wood, Carving, IslandArt, BalineseJewelry",4.4,231,510.0
Museum Grade Dragon Naga Carved Relief Bali,"painted Buddha Relief Panel from Tegallalang, Bali, Indonesia. Crafted using Coconut Shell by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,KutaArtisan,"Wood, Carving, EcoFriendly, BalineseJewelry",5.0,251,590.0
Hand Carved Dewi Sri Rice Goddess Carving Bali,"premium Buddha Relief Panel — A true representation of Balinese artistry. Using Suar Wood sourced from local villages, our artisans in Mas Village, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,KutaCreativeHouse,"Wood, Carving, ArtisanMade, NaturalMaterial",4.54,151,61.5
Artisan Buddha Meditation Relief Panel Artisan Made,"This Floral Relief is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Teak Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,MasCraft,"Wood, Carving, HandmadeBali, UbudArt",4.66,36,135.0
Traditional Twin Frog Garden Sculpture,"Bring the spirit of Bali into your home with this Buddha Relief Panel. Sourced from Tegallalang, Bali, Indonesia and crafted with Cempaka Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,MasArtisan,"Wood, Carving, CelukSilver, GianyarCraft",4.4,34,390.0
Antique Style Mermaid Goddess Wall Carving,"Bring the spirit of Bali into your home with this Ganesha Statue. Sourced from Tegallalang, Bali, Indonesia and crafted with Coconut Shell, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,KlungkungBatik,"Wood, Carving, EcoFriendly, BalineseJewelry",4.95,131,315.0
Heirloom Quality Rangda Demon Wood Sculpture,"handcrafted Buddha Relief Panel — A true representation of Balinese artistry. Using Ebony Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,KlungkungWorkshop,"Wood, Carving, BatchArtistry, HomeDecorationBali",4.73,109,555.0
Museum Grade Balinese Village Scene Panel,"Discover this heritage Lotus Flower Carving, handcrafted in Tegallalang, Bali, Indonesia using traditional Balinese techniques. The Teak Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,BaliWorkshop,"Wood, Carving, NaturalMaterial, RattanBag",4.82,239,650.0
Hand Carved Hanuman Monkey God Wood Art Indonesia,"Bring the spirit of Bali into your home with this Buddha Relief Panel. Sourced from Batubulan, Bali, Indonesia and crafted with Coconut Shell, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,MasStudio,"Wood, Carving, BatchArtistry, SilverJewelry",4.53,264,120.0
Artisan Kecak Dance Relief Panel Bali,"This Lotus Flower Carving is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Waru Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,SanurArt,"Wood, Carving, BohoStyle, HandmadeBali",4.37,365,250.0
Traditional Peacock Feather Wood Wall Hanging Indonesia,"Discover this painted Buddha Relief Panel, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Ebony Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,BaliHeritage,"Wood, Carving, SilverJewelry, RattanBag",4.76,385,605.0
Antique Style Rice Terrace Scenic Wood Panel Traditional,"Bring the spirit of Bali into your home with this Garuda Panel. Sourced from Tegallalang, Bali, Indonesia and crafted with Waru Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,CelukBoutique,"Wood, Carving, UbudArt, TraditionalCraft",4.9,263,495.0
Heirloom Quality Tropical Jungle Flora Carving Balinese Style,"handcrafted Buddha Relief Panel — A true representation of Balinese artistry. Using Cempaka Wood sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SukawatiDesign,"Wood, Carving, BalineseMask, OrganicBali",4.39,331,230.0
Museum Grade Rama Sita Story Relief Indonesia,"painted Floral Relief — A true representation of Balinese artistry. Using Waru Wood sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,BaliArt,"Wood, Carving, IncenseBali, ArtisanMade",4.59,284,255.0
Hand Carved Barong Spirit Protector Mask Wall,"This Ganesha Statue is a masterpiece of Mas Village, Bali, Indonesia heritage. Made from ethically sourced Cempaka Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,SukawatiHeritage,"Wood, Carving, OrganicBali, HandmadeBali",4.15,465,520.0
Artisan Sacred Tree of Life Carving Indonesia,"Discover this unique Dragon Door Knocker, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Waru Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,GianyarHandmade,"Wood, Carving, IncenseBali, BaliHandcraft",4.95,478,185.0
Traditional Naga Serpent Dragon Plaque Traditional,"rustic Ganesha Statue from Mas Village, Bali, Indonesia. Crafted using Waru Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,NusaHandmade,"Wood, Carving, IndonesianCraft, TraditionalCraft",4.82,415,335.0
Antique Style Balinese Farmer Figurine Suar Wood,"This Dragon Door Knocker is a masterpiece of Tegallalang, Bali, Indonesia heritage. Made from ethically sourced Teak Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,KutaStudio,"Wood, Carving, SilverJewelry, NaturalMaterial",4.66,118,650.0
Heirloom Quality Offering Lady Wood Bust Sculpture Indonesia,"This Lotus Flower Carving is a masterpiece of Mas Village, Bali, Indonesia heritage. Made from ethically sourced Suar Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,CelukStudio,"Wood, Carving, BalineseJewelry, ArtisanMade",4.13,173,120.0
Museum Grade Temple Guardian Dvarapala Carving,"Bring the spirit of Bali into your home with this Garuda Panel. Sourced from Batubulan, Bali, Indonesia and crafted with Coconut Shell, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,SanurCreativeHouse,"Wood, Carving, NaturalMaterial, IncenseBali",4.73,64,120.0
Hand Carved Lotus Pond Scene Wood Relief Artisan Made,"rare Garuda Panel from Batubulan, Bali, Indonesia. Crafted using Waru Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,NusaCraft,"Wood, Carving, CeramicBali, BaliHandcraft",4.26,228,535.0
Artisan Elephant Parade Wall Panel Indonesia,"Bring the spirit of Bali into your home with this Barong Mask. Sourced from Tegallalang, Bali, Indonesia and crafted with Ebony Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,SukawatiArtisan,"Wood, Carving, UbudArt, BalineseMask",4.29,5,175.0
Traditional Celestial Apsara Dancer Figurine Traditional,"custom Dragon Door Knocker — A true representation of Balinese artistry. Using Ebony Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,KlungkungWorkshop,"Wood, Carving, EcoFriendly, TraditionalCraft",4.53,373,235.0
Antique Style Crocodile Totem Carved Wood Traditional,"Discover this rustic Garuda Panel, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Ebony Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,MasBrass,"Wood, Carving, NaturalMaterial, HandmadeBali",4.74,220,115.0
Heirloom Quality Buffalo Skull Relief Carving Indonesia,"sacred Ganesha Statue — A true representation of Balinese artistry. Using Suar Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,GianyarWorkshop,"Wood, Carving, IncenseBali, ArtisanMade",4.88,225,240.0
Museum Grade Dewi Tara Goddess Statue Bali,"luxury Lotus Flower Carving — A true representation of Balinese artistry. Using Ebony Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,GianyarArt,"Wood, Carving, IslandArt, UbudArt",4.38,342,435.0
Hand Carved Krishna Arjuna Battle Relief from Ubud,"This Lotus Flower Carving is a masterpiece of Mas Village, Bali, Indonesia heritage. Made from ethically sourced Cempaka Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,KarangasemCraft,"Wood, Carving, HandmadeBali, BalineseJewelry",4.72,17,445.0
Artisan Mahabharata War Scene Panel,"handcrafted Floral Relief — A true representation of Balinese artistry. Using Waru Wood sourced from local villages, our artisans in Mas Village, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SeminyakCreativeHouse,"Wood, Carving, BaliHandcraft, BatchArtistry",4.3,258,465.0
Traditional Winged Lion Singa Carving,"authentic Ganesha Statue from Batubulan, Bali, Indonesia. Crafted using Waru Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,UbudWorkshop,"Wood, Carving, BaliHandcraft, BalineseJewelry",4.65,242,125.0
Antique Style Ganesh Dancing Form Sculpture Balinese Style,"unique Dragon Door Knocker — A true representation of Balinese artistry. Using Ebony Wood sourced from local villages, our artisans in Mas Village, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,MasArtisan,"Wood, Carving, RattanBag, IslandArt",4.49,309,230.0
Heirloom Quality Sea Turtle Wood Mobile from Gianyar,"painted Wayang Figure — A true representation of Balinese artistry. Using Suar Wood sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SukawatiWorkshop,"Wood, Carving, IndonesianCraft, CelukSilver",4.98,435,195.0
Museum Grade Eagle Garuda Head Wall Mount Bali,"Discover this heritage Floral Relief, handcrafted in Tegallalang, Bali, Indonesia using traditional Balinese techniques. The Cempaka Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,GianyarWorkshop,"Wood, Carving, IslandArt, EcoFriendly",4.97,144,275.0
Hand Carved Sun Moon Star Carved Plaque,"This Barong Mask is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Cempaka Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,MasSilversmith,"Wood, Carving, BalineseJewelry, NaturalMaterial",4.12,37,585.0
Artisan Infinity Knot Wood Sculpture Artisan Made,"painted Lotus Flower Carving — A true representation of Balinese artistry. Using Suar Wood sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SukawatiHandmade,"Wood, Carving, BaliHandcraft, OrganicBali",4.25,204,360.0
Traditional Tree Roots Nature Relief Traditional,"elegant Buddha Relief Panel — A true representation of Balinese artistry. Using Teak Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,GianyarBoutique,"Wood, Carving, ArtisanMade, BohoStyle",4.39,441,270.0
Antique Style Balinese Calendar Wheel Carving,"This Dragon Door Knocker is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Ebony Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,MasBoutique,"Wood, Carving, BalineseMask, BaliHandcraft",4.48,177,330.0
Heirloom Quality Garuda Vishnu Hand Carved Teak Panel,"premium Wayang Figure — A true representation of Balinese artistry. Using Teak Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,MasBoutique,"Wood, Carving, RattanBag, CeramicBali",4.69,308,530.0
Museum Grade Barong Lion Relief Wall Art Bali,"handcrafted Buddha Relief Panel — A true representation of Balinese artistry. Using Teak Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,KlungkungArt,"Wood, Carving, RattanBag, IslandArt",4.39,199,295.0
Hand Carved Lotus Mandala Carved Wood Panel Bali,"Discover this vintage Floral Relief, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Waru Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,UbudCreativeHouse,"Wood, Carving, NaturalMaterial, BalineseMask",4.63,134,420.0
Artisan Legong Dancer Suar Wood Figurine Indonesia,"painted Buddha Relief Panel from Mas Village, Bali, Indonesia. Crafted using Suar Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,SeminyakHeritage,"Wood, Carving, BohoStyle, BalineseJewelry",4.73,391,235.0
Traditional Ganesha Elephant Deity Sculpture,"Bring the spirit of Bali into your home with this Dragon Door Knocker. Sourced from Mas Village, Bali, Indonesia and crafted with Waru Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,GianyarArt,"Wood, Carving, RattanBag, BalineseJewelry",4.95,293,300.0
Antique Style Dragon Naga Carved Relief Bali,"This Garuda Panel is a masterpiece of Mas Village, Bali, Indonesia heritage. Made from ethically sourced Suar Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,SeminyakCreativeHouse,"Wood, Carving, CeramicBali, HomeDecorationBali",4.58,403,240.0
Heirloom Quality Dewi Sri Rice Goddess Carving Indonesia,"Discover this authentic Barong Mask, handcrafted in Mas Village, Bali, Indonesia using traditional Balinese techniques. The Cempaka Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,SanurCreativeHouse,"Wood, Carving, BatchArtistry, NaturalMaterial",4.26,43,480.0
Museum Grade Buddha Meditation Relief Panel Balinese Style,"Discover this unique Dragon Door Knocker, handcrafted in Tegallalang, Bali, Indonesia using traditional Balinese techniques. The Teak Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,NusaHeritage,"Wood, Carving, CeramicBali, SilverJewelry",4.91,405,305.0
Hand Carved Twin Frog Garden Sculpture from Gianyar,"custom Wayang Figure from Mas Village, Bali, Indonesia. Crafted using Cempaka Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,NusaPenidaArt,"Wood, Carving, GianyarCraft, TraditionalCraft",4.67,426,135.0
Artisan Mermaid Goddess Wall Carving Artisan Made,"custom Wayang Figure — A true representation of Balinese artistry. Using Coconut Shell sourced from local villages, our artisans in Batubulan, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,NusaCraft,"Wood, Carving, RattanBag, BaliHandcraft",4.55,499,155.0
Traditional Rangda Demon Wood Sculpture from Ubud,"luxury Floral Relief — A true representation of Balinese artistry. Using Cempaka Wood sourced from local villages, our artisans in Tegallalang, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,MasHandmade,"Wood, Carving, BatchArtistry, BalineseMask",4.48,430,235.0
Antique Style Balinese Village Scene Panel Artisan Made,"heritage Floral Relief — A true representation of Balinese artistry. Using Cempaka Wood sourced from local villages, our artisans in Mas Village, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,SukawatiBoutique,"Wood, Carving, BatchArtistry, CeramicBali",4.96,19,325.0
Heirloom Quality Hanuman Monkey God Wood Art Traditional,"This Ganesha Statue is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Cempaka Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,NusaCreativeHouse,"Wood, Carving, BohoStyle, BalineseMask",4.15,364,650.0
Museum Grade Kecak Dance Relief Panel Artisan Made,"This Buddha Relief Panel is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Ebony Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,KutaArtisan,"Wood, Carving, EcoFriendly, BalineseJewelry",4.57,289,410.0
Hand Carved Peacock Feather Wood Wall Hanging Artisan Made,"handwoven Floral Relief — A true representation of Balinese artistry. Using Teak Wood sourced from local villages, our artisans in Mas Village, Bali, Indonesia pour generations of knowledge into every piece. Comes with a certificate of authenticity.",Wood Carving & Sculpture,UbudBoutique,"Wood, Carving, ArtisanMade, EcoFriendly",4.58,359,215.0
Artisan Rice Terrace Scenic Wood Panel Balinese Style,"Bring the spirit of Bali into your home with this Lotus Flower Carving. Sourced from Mas Village, Bali, Indonesia and crafted with Cempaka Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,GianyarHandmade,"Wood, Carving, GianyarCraft, BohoStyle",4.52,174,515.0
Traditional Tropical Jungle Flora Carving Bali,"Discover this artisan Floral Relief, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Teak Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,GianyarHeritage,"Wood, Carving, BalineseMask, BalineseJewelry",4.57,166,605.0
Antique Style Rama Sita Story Relief,"This Ganesha Statue is a masterpiece of Mas Village, Bali, Indonesia heritage. Made from ethically sourced Teak Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,GianyarArtisan,"Wood, Carving, CelukSilver, BalineseMask",4.83,310,300.0
Heirloom Quality Barong Spirit Protector Mask Wall Hand Crafted,"This Dragon Door Knocker is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Coconut Shell, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,BaliCraft,"Wood, Carving, BohoStyle, IndonesianCraft",4.78,69,545.0
Museum Grade Sacred Tree of Life Carving Hand Crafted,"Discover this painted Buddha Relief Panel, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Coconut Shell construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,UbudDesign,"Wood, Carving, RattanBag, CelukSilver",4.39,298,145.0
Hand Carved Naga Serpent Dragon Plaque Artisan Made,"Discover this luxury Floral Relief, handcrafted in Batubulan, Bali, Indonesia using traditional Balinese techniques. The Suar Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,SanurCreativeHouse,"Wood, Carving, IndonesianCraft, OrganicBali",4.83,63,650.0
Artisan Balinese Farmer Figurine Suar Wood Bali,"Bring the spirit of Bali into your home with this Floral Relief. Sourced from Mas Village, Bali, Indonesia and crafted with Suar Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,MasSilversmith,"Wood, Carving, HomeDecorationBali, OrganicBali",4.49,490,185.0
Traditional Offering Lady Wood Bust Sculpture Artisan Made,"Bring the spirit of Bali into your home with this Dragon Door Knocker. Sourced from Batubulan, Bali, Indonesia and crafted with Coconut Shell, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,UbudCraft,"Wood, Carving, BaliHandcraft, CeramicBali",4.52,402,345.0
Antique Style Temple Guardian Dvarapala Carving Artisan Made,"Discover this luxury Floral Relief, handcrafted in Tegallalang, Bali, Indonesia using traditional Balinese techniques. The Suar Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,BulelengArt,"Wood, Carving, BatchArtistry, BaliHandcraft",4.77,317,120.0
Heirloom Quality Lotus Pond Scene Wood Relief Bali,"Discover this traditional Dragon Door Knocker, handcrafted in Tegallalang, Bali, Indonesia using traditional Balinese techniques. The Coconut Shell construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,UbudArt,"Wood, Carving, EcoFriendly, IndonesianCraft",4.25,43,390.0
Museum Grade Elephant Parade Wall Panel Hand Crafted,"Bring the spirit of Bali into your home with this Wayang Figure. Sourced from Mas Village, Bali, Indonesia and crafted with Coconut Shell, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,CelukWorkshop,"Wood, Carving, CelukSilver, HandmadeBali",4.2,366,445.0
Hand Carved Celestial Apsara Dancer Figurine Hand Crafted,"This Floral Relief is a masterpiece of Batubulan, Bali, Indonesia heritage. Made from ethically sourced Teak Wood, it reflects centuries of Balinese craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Bali workshop.",Wood Carving & Sculpture,UbudWorkshop,"Wood, Carving, BalineseMask, BatchArtistry",4.67,222,70.5
Artisan Crocodile Totem Carved Wood Bali,"Discover this exquisite Dragon Door Knocker, handcrafted in Mas Village, Bali, Indonesia using traditional Balinese techniques. The Ebony Wood construction ensures durability and beauty. A wonderful addition to any home or a thoughtful gift for loved ones.",Wood Carving & Sculpture,SanurHeritage,"Wood, Carving, RattanBag, EcoFriendly",4.64,309,295.0
Traditional Buffalo Skull Relief Carving Indonesia,"luxury Garuda Panel from Tegallalang, Bali, Indonesia. Crafted using Ebony Wood by skilled Balinese artisans. Each piece carries the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Bali with international tracking.",Wood Carving & Sculpture,KlungkungCraft,"Wood, Carving, IslandArt, HandmadeBali",4.25,261,210.0
Antique Style Dewi Tara Goddess Statue Balinese Style,"Bring the spirit of Bali into your home with this Floral Relief. Sourced from Tegallalang, Bali, Indonesia and crafted with Suar Wood, this piece embodies eco-conscious artisanship. Great for boho, tropical, or minimalist interior styles.",Wood Carving & Sculpture,GianyarStudio,"Wood, Carving, OrganicBali, BaliHandcraft",4.73,133,390.0
